Name;Northing;Easting;Elevation;Waypoint;soil_moist;Average_so;F5cm;F10cm;F15cm;Soil_class;O_horizon;Kpa5;Kpa10;Kpa15;Prob;Classified
1103c;6710473.38142;621980.13332;43.44756;1103c;19.5;19.5;5;8;11;3;3;1331.02870457;1652.91957698;1799.23360989;47;1
1104c;6710476.61068;621980.05926;44.03323;1104c;21.8;22;6;7;8;3;2;1116.43478964;1882.84162869;2457.64675798;11;1
1105c;6710481.29096;621980.45155;45.62577;1105c;17.6;14;5;8;12;2;1;1331.02870457;1652.91957698;1652.91957698;14;1
1106c;6710483.87006;621978.50234;47.69288;1106c;11.2;13;4;6;7;2;1;1652.91957698;2189.40436431;2802.52983556;5;1
1107c;6710486.82656;621972.80998;53.28643;1107c;8.4;19;12;13;13;2;4;579.950002297;1033.89866851;1529.11539528;1;1
1101a;6710452.88;621983.13345;45.96043;1101a;12.155;13.5;5;6;8;3;2;1331.02870457;2189.40436431;2457.64675798;8;1
1102a;6710451.53487;621981.63774;42.40818;1102a;12;11;5;8;9;3;3;1331.02870457;1652.91957698;2189.40436431;7;1
1103a;6710448.41823;621984.78972;42.30746;1103a;18.6;21;6;8;10;3;3;1116.43478964;1652.91957698;1974.81044938;3;1
1104a;6710444.80657;621985.22362;42.23214;1104a;24.3;16.5;5;6;8;3;2;1331.02870457;2189.40436431;2457.64675798;12;1
1105a;6710440.96485;621985.39811;42.40514;1105a;25.9;20;5;8;12;3;2;1331.02870457;1652.91957698;1652.91957698;7;1
1106a;6710430.8935;621989.37942;44.31829;1106a;13.1;10;8;11;12;3;2;848.192395967;1213.97747824;1652.91957698;10;1
1107a;6710424.57457;621994.3893;43.5547;1107a;16.8;11.5;9;9;10;2;8;758.778264744;1474.09131453;1974.81044938;0;1
1108a;6710417.39776;622001.48155;46.85864;1108a;7.1;21;8;10;12;2;13;848.192395967;1331.02870457;1652.91957698;9;1
bck1100a;6710460.46122;621983.84715;40.24091;bck1100a;33;7.5;2;2;2;5;0;3262.37393899;6481.28266303;9700.19138706;50;1
bck3300c;6710493.66034;622198.24645;40.02815;back3300c;64.1;21.5;10;22;27;5;0;687.246959765;628.721346601;758.778264744;42;1
bck3300a;6710489.80741;622201.43252;40.74163;bck3300a;23.9;13;13;16;16;5;0;538.681941733;848.192395967;1250.55598647;49;1
bck2000c;6710494.25525;622298.38314;40.42596;bck2000c;25;28.5;8;12;20;5;0;848.192395967;1116.43478964;1009.13783217;45;2
bck2000a;6710490.67851;622297.84301;41.87369;bck2000a;29.3;10.5;5;6;7;5;0;1331.02870457;2189.40436431;2802.52983556;47;2
bck1000a;6710498.12088;622391.82383;39.92722;bck1000a;59.4;11.5;12;15;16;5;0;579.950002297;901.840874701;1250.55598647;58;2
bck1000c;6710503.26863;622390.33328;43.36917;bck1000c;47.5;10;6;7;8;5;0;1116.43478964;1882.84162869;2457.64675798;60;2
1005;6760163.8975;467107.86128;257.96548;1005;100;80;35;45;55;5;80;227.402856332;329.590434872;394.618893944;90;2
1004;6760162.0722;467111.9353;260.19139;1004;100;67.5;42;74;98;5;80;196.74658277;217.460281122;240.541259287;93;2
1003;6760161.84693;467115.59109;257.89801;1003;100;80;33;51;70;5;80;238.550592173;295.928644294;319.371677018;94;2
1002;6760161.69921;467118.66433;260.01184;1002;100;80;32;42;51;5;80;244.64701021;350.027950581;422.160358962;89;2
1001;6760159.46155;467123.12761;261.1407;1001;100;80;22;30;40;5;80;336.09328078;472.65304483;526.301523563;76;2
1006;6760165.13238;467098.7375;258.24168;1006;38.9;80;36;54;55;5;80;222.293477405;281.90289822;394.618893944;99;3
1001a;6760160.21042;467128.19062;257.59405;1001a;36.7;44;15;43;46;4;40;472.65304483;342.898584636;463.322874615;68;2
1002a;6760160.33272;467131.41606;257.79702;1002a;28.1;16;26;28;28;4;10;291.073578346;503.309318392;733.231370108;66;2
1003a;6760160.05373;467134.8666;258.90747;1003a;10.1;24;17;20;24;4;43;422.160358962;687.246959765;848.192395967;20;1
1004a;6760159.89299;467137.79026;258.51665;1004a;18.7;21.5;13;15;18;3;6;538.681941733;901.840874701;1116.43478964;19;1
1005a;6760158.48078;467141.71266;258.91398;1005a;21.2;13.5;14;21;24;3;10;503.309318392;656.590686203;848.192395967;12;1
1006a;6760158.21503;467145.39002;259.53817;1006a;25;22;6;7;7;3;13;1116.43478964;1882.84162869;2802.52983556;5;1
1007a;6760160.0479;467153.39219;259.8636;1007a;18.7;10;6;6;6;2;16;1116.43478964;2189.40436431;3262.37393899;11;1
2001a;6760199.63526;467147.4394;257.8345;2001a;24.9;66.5;3;16;26;4;42;2189.40436431;848.192395967;786.29030512;94;2
2002a;6760197.82025;467150.82493;257.68402;2002a;56.6;61.5;18;23;31;4;17;401.121739851;603.275427834;666.479806707;91;2
2003a;6760197.89005;467154.77115;257.21349;2003a;80;77;22;31;45;4;8;336.09328078;458.808276124;472.65304483;62;2
2004a;6760197.12719;467158.33882;258.03515;2004a;43.7;53.5;11;27;34;3;7;628.721346601;520.340581482;611.507930964;64;2
2005a;6760196.38;467161.86251;258.04686;2005a;5;47;18;18;18;4;47;401.121739851;758.778264744;1116.43478964;61;2
2007a;6760193.35206;467169.48137;258.29734;2007a;52.8;35;34;44;47;3;35;232.81278696;336.09328078;454.38973292;30;1
2008a;6760191.85157;467173.13753;258.70843;2008a;26.1;24;10;23;30;3;20;687.246959765;603.275427834;687.246959765;15;1
2009a;6760193.18814;467182.63311;258.88679;2009a;21.9;21;9;14;14;3;23;758.778264744;963.153421825;1422.99752526;11;1
2010a;6760194.27145;467192.08016;261.54596;2010a;17.7;23;10;11;11;2;10;687.246959765;1213.97747824;1799.23360989;3;1
2001;6760204.79592;467141.82814;257.1445;2001;50.6;6.5;26;50;76;4;80;291.073578346;300.977912881;297.589587908;81;2
2002;6760205.79221;467137.94678;257.6216;2002;100;80;25;53;84;5;80;300.977912881;286.401722433;273.387266675;86;2
2003;6760206.51663;467134.14048;257.25828;2003;100;80;89;100;107;5;80;115.800242465;172.22156392;223.964769577;80;2
2004;6760207.45261;467128.49836;257.5892;2004;100;80;31;76;89;5;80;251.136745541;212.881463592;260.470297478;75;2
2005;6760206.74344;467123.81096;257.7621;2005;65.2;71.5;17;26;33;4;80;422.160358962;538.681941733;628.721346601;57;2
2006;6760206.8455;467120.57429;259.71301;2006;24.7;13.5;22;25;25;3;18.5;336.09328078;558.490610804;816.003308726;74;2
2007;6760207.18867;467113.63135;258.26222;2007;37;16;19;20;23;3;16;382.297712225;687.246959765;883.180534272;45;1
2008;6760206.38248;467105.74882;258.79141;2008;16.9;20;8;19;20;2;11;848.192395967;721.130209492;1009.13783217;37;1
2009;6760209.31888;467098.09212;259.2502;2009;11.1;11;8;9;9;2;11;848.192395967;1474.09131453;2189.40436431;19;1
1001;6760102.45246;467181.97337;257.02138;1001;100;72.5;27;36;47;4;80;281.90289822;401.121739851;454.38973292;88;2
1002;6760105.01049;467179.32332;257.03201;1002;27.4;73;24;29;35;4;80;311.707608628;487.45262517;595.278139078;91;2
1003;6760107.55576;467175.9309;256.99843;1003;100;68;26;33;40;4;80;291.073578346;433.635969387;526.301523563;70;2
